query_index,cf_id,etfruit,eatveg,cgtsmok,alcfreq,slprl,paccnois,bmi,dosprt,hltprhc,valid,risk_before,predicted_risk_after,target_risk,cf_gen_time_sec,gower_distance
0,original,4,3,3,4,2,0,18.9865907203038,0,,,0.1667,,0.0833,2.82,
0,cf_1,,,,,,,17.46275,,0.0,False,0.1667,0.1533,0.0833,,0.9542
0,cf_1,,,6,,,,18.97874,,0.0,False,0.1667,0.0867,0.0833,,0.8754
0,cf_1,,,,,,,18.76644,5,0.0,False,0.1667,0.1467,0.0833,,0.8864
0,cf_1,3,,,,,,17.39045,,0.0,False,0.1667,0.1733,0.0833,,0.958
0,cf_1,3,,,,,,16.5829,,0.0,False,0.1667,0.1867,0.0833,,1.0
0,cf_1,,,6,7,,,18.97453,,0.0,False,0.1667,0.1833,0.0833,,0.8756
0,cf_1,,,,7,,,18.97453,7,0.0,True,0.1667,0.0567,0.0833,,0.8756
0,cf_1,,,5,,,,18.96193,2,0.0,True,0.1667,0.0367,0.0833,,0.8763
1,original,3,4,1,2,3,0,22.3756799506192,0,,,0.52,,0.26,60.85,
1,cf_1,,,,,1,,22.37568,,0.0,True,0.52,0.0633,0.26,,0.8796
1,cf_1,,3,,,,,22.37568,,0.0,True,0.52,0.15,0.26,,0.8796
1,cf_1,,,4,,,,22.37568,4,0.0,True,0.52,0.1967,0.26,,0.8796
1,cf_1,,,,,1,,22.37568,1,0.0,True,0.52,0.1233,0.26,,0.8796
1,cf_1,1,,,,,,22.37568,1,0.0,True,0.52,0.1767,0.26,,0.8796
1,cf_1,,1,,,,,22.37568,2,0.0,True,0.52,0.14,0.26,,0.8796
1,cf_1,,,,7,,,22.37568,7,0.0,True,0.52,0.1867,0.26,,0.8796
2,original,5,3,1,1,4,0,22.6940189315895,7,,,0.3333,,0.1667,3.14,
2,cf_1,3,,,,2,,22.67995,,0.0,True,0.3333,0.0633,0.1667,,1.0
2,cf_1,1,1,,,1,,22.67995,,0.0,True,0.3333,0.1633,0.1667,,1.0
2,cf_1,1,2,,3,,,22.67995,,0.0,True,0.3333,0.0533,0.1667,,1.0
3,original,3,3,6,6,2,0,24.3417582863402,1,,,0.0367,,0.0183,3.31,
3,cf_1,,,,,,,24.33748,,0.0,False,0.0367,0.0333,0.0183,,0.8753
3,cf_1,,,,,,,23.48337,,0.0,False,0.0367,0.1333,0.0183,,0.9348
3,cf_1,,,,7,,,24.33748,,0.0,False,0.0367,0.0467,0.0183,,0.8753
3,cf_1,,,,,,,24.33748,3,0.0,False,0.0367,0.0233,0.0183,,0.8753
3,cf_1,,,,,,,24.33748,4,0.0,False,0.0367,0.0967,0.0183,,0.8753
3,cf_1,,,,,,,23.08618,3,0.0,False,0.0367,0.11,0.0183,,0.9624
3,cf_1,,,,,,,22.54598,7,0.0,False,0.0367,0.0433,0.0183,,1.0
3,cf_1,,2,,,1,,24.33748,,0.0,False,0.0367,0.11,0.0183,,0.8753
4,original,5,4,2,7,1,0,21.2585034013605,3,,,0.0067,,0.0033,3.38,
4,cf_1,,,,,,,21.2585,,0.0,False,0.0067,0.0067,0.0033,,0.9868
4,cf_1,,,6,,,,21.2585,,0.0,True,0.0067,0.0,0.0033,,0.9868
4,cf_1,3,,,,,,21.2585,,0.0,False,0.0067,0.1033,0.0033,,0.9868
4,cf_1,4,,,,,,21.2585,,0.0,False,0.0067,0.01,0.0033,,0.9868
4,cf_1,,3,,,,,21.2585,,0.0,False,0.0067,0.02,0.0033,,0.9868
4,cf_1,,,5,,,,21.2585,,0.0,False,0.0067,0.02,0.0033,,0.9868
4,cf_1,,,,,,,21.2585,4,0.0,False,0.0067,0.0067,0.0033,,0.9868
4,cf_1,,,3,,,,21.2585,,0.0,False,0.0067,0.0067,0.0033,,0.9868
4,cf_1,,1,6,,,,21.2585,,0.0,False,0.0067,0.11,0.0033,,0.9868
5,original,2,2,1,2,4,0,27.9903628117914,0,,,0.52,,0.26,3.35,
5,cf_1,,,,7,3,,27.99036,,0.0,True,0.52,0.1767,0.26,,1.0857
5,cf_1,,,,7,1,,27.99036,,0.0,True,0.52,0.2333,0.26,,1.0857
5,cf_1,,,,6,2,,27.99036,,0.0,True,0.52,0.2033,0.26,,1.0857
6,original,2,3,5,4,1,0,27.681660899654,4,,,0.4233,,0.2117,2.74,
6,cf_1,,,,,,,26.28736,,0.0,True,0.4233,0.16,0.2117,,0.9346
6,cf_1,,,,,,,25.8586,,0.0,True,0.4233,0.1767,0.2117,,0.9529
6,cf_1,,,,,,,25.80295,,0.0,True,0.4233,0.1667,0.2117,,0.9553
6,cf_1,,,,,,,25.58205,,0.0,True,0.4233,0.1633,0.2117,,0.9647
6,cf_1,,,,,,,25.47777,,0.0,True,0.4233,0.1533,0.2117,,0.9692
6,cf_1,,,,,,,25.08356,,0.0,True,0.4233,0.13,0.2117,,0.986
6,cf_1,,,,,,,25.00543,,0.0,True,0.4233,0.1367,0.2117,,0.9894
6,cf_1,,,,,,,24.75659,,0.0,True,0.4233,0.1767,0.2117,,1.0
7,original,2,3,6,3,1,0,20.4381655849977,2,,,0.1067,,0.0533,2.77,
7,cf_1,,,,,,,20.42836,,0.0,False,0.1067,0.11,0.0533,,0.8756
7,cf_1,,,,,,,19.71381,,0.0,False,0.1067,0.1033,0.0533,,0.9177
7,cf_1,,,,,,,18.71811,,0.0,False,0.1067,0.06,0.0533,,0.9764
7,cf_1,,,,,,,18.70824,,0.0,False,0.1067,0.06,0.0533,,0.977
7,cf_1,,,,,,,18.31825,,0.0,False,0.1067,0.0867,0.0533,,1.0
7,cf_1,,,,7,,,20.42942,,0.0,True,0.1067,0.0367,0.0533,,0.8755
7,cf_1,,,,,,,20.42836,5,0.0,False,0.1067,0.1633,0.0533,,0.8756
7,cf_1,,,,6,,,20.42836,,0.0,False,0.1067,0.0833,0.0533,,0.8756
8,original,6,4,1,1,1,0,26.0145681581686,0,,,0.2267,,0.1133,2.91,
8,cf_1,,,,7,,,23.27894,,0.0,True,0.2267,0.0867,0.1133,,0.9209
8,cf_1,,,6,7,,,26.00438,,0.0,False,0.2267,0.2333,0.1133,,0.8752
8,cf_1,,,,4,,,26.00438,6,0.0,True,0.2267,0.0733,0.1133,,0.8752
8,cf_1,5,,,,,,25.15845,5,0.0,True,0.2267,0.04,0.1133,,0.8893
8,cf_1,,,,,,,18.55676,,0.0,False,0.2267,0.2333,0.1133,,1.0
8,cf_1,1,,6,,,,26.00438,2,0.0,False,0.2267,0.23,0.1133,,0.8752
8,cf_1,2,,,7,,,26.00438,3,0.0,True,0.2267,0.0267,0.1133,,0.8752
