query_index,cf_id,etfruit,eatveg,cgtsmok,alcfreq,slprl,paccnois,bmi,dosprt,hltprhc,valid,risk_before,predicted_risk_after,target_risk,cf_gen_time_sec,gower_distance
0,original,4,3,3,4,2,0,18.9865907203038,0,,,0.1667,,0.0833,2.79,
0,cf_1,,,,,,,16.03654,,0.0,False,0.1667,0.16,0.0833,,1.0
0,cf_1,,,,7,,,18.97453,,0.0,False,0.1667,0.27,0.0833,,0.8755
0,cf_1,,,,7,,,18.89331,,0.0,False,0.1667,0.2733,0.0833,,0.879
0,cf_1,,,,6,,,17.78757,,0.0,False,0.1667,0.34,0.0833,,0.9258
0,cf_1,,,,,,,17.52155,5,0.0,False,0.1667,0.25,0.0833,,0.9371
0,cf_1,3,,,,,,16.63906,,0.0,False,0.1667,0.1867,0.0833,,0.9745
0,cf_1,,,,,1,,16.29364,,0.0,False,0.1667,0.16,0.0833,,0.9891
0,cf_1,,,6,,,,16.09223,,0.0,False,0.1667,0.11,0.0833,,0.9976
0,cf_1,,,6,7,,,18.97453,,0.0,False,0.1667,0.1833,0.0833,,0.8755
0,cf_1,,,,7,,,18.97453,7,0.0,True,0.1667,0.0567,0.0833,,0.8755
1,original,3,4,1,2,3,0,22.3756799506192,0,,,0.52,,0.26,60.96,
1,cf_1,,,5,,,,22.37568,4,0.0,True,0.52,0.1633,0.26,,0.8796
1,cf_1,,,,,1,,22.37568,1,0.0,True,0.52,0.1233,0.26,,0.8796
1,cf_1,,,,,2,,22.37568,7,0.0,False,0.52,0.3267,0.26,,0.8796
1,cf_1,2,,,,1,,22.37568,,0.0,True,0.52,0.0367,0.26,,0.8796
1,cf_1,,,,7,,,22.37568,7,0.0,True,0.52,0.1867,0.26,,0.8796
1,cf_1,,,,3,1,,22.37568,,0.0,True,0.52,0.02,0.26,,0.8796
1,cf_1,,,4,,,,22.37568,4,0.0,True,0.52,0.1967,0.26,,0.8796
1,cf_1,,1,4,,,,22.37568,4,0.0,True,0.52,0.24,0.26,,0.8796
1,cf_1,1,,4,,,,22.37568,1,0.0,False,0.52,0.32,0.26,,0.8796
2,original,5,3,1,1,4,0,22.6940189315895,7,,,0.3333,,0.1667,3.01,
2,cf_1,,,,,,,17.45941,,0.0,False,0.3333,0.3167,0.1667,,1.0
2,cf_1,3,,,,2,,22.67995,,0.0,True,0.3333,0.0633,0.1667,,0.8753
2,cf_1,,,,4,2,,22.67574,,0.0,False,0.3333,0.33,0.1667,,0.8754
2,cf_1,,,,6,1,,22.67574,,0.0,False,0.3333,0.2633,0.1667,,0.8754
2,cf_1,2,,,5,,,21.65475,,0.0,False,0.3333,0.3267,0.1667,,0.8998
2,cf_1,,,2,6,1,,22.67995,,0.0,True,0.3333,0.07,0.1667,,0.8753
2,cf_1,,1,4,5,,,22.67995,,0.0,False,0.3333,0.2733,0.1667,,0.8753
2,cf_1,1,,6,4,,,22.67995,,0.0,False,0.3333,0.3533,0.1667,,0.8753
3,original,3,3,6,6,2,0,24.3417582863402,1,,,0.0367,,0.0183,3.23,
3,cf_1,,,,,,,24.33748,,0.0,False,0.0367,0.0333,0.0183,,0.8752
3,cf_1,,,,,,,22.05726,,0.0,False,0.0367,0.2233,0.0183,,1.0
3,cf_1,,,,7,,,24.33748,,0.0,False,0.0367,0.0467,0.0183,,0.8752
3,cf_1,,,,,,,24.33748,4,0.0,False,0.0367,0.0967,0.0183,,0.8752
3,cf_1,,,,,,,24.33748,3,0.0,False,0.0367,0.0233,0.0183,,0.8752
3,cf_1,,2,,,,,24.33748,,0.0,False,0.0367,0.28,0.0183,,0.8752
3,cf_1,1,,,,,,24.33748,,0.0,False,0.0367,0.3367,0.0183,,0.8752
3,cf_1,,,,,,,24.21066,3,0.0,True,0.0367,0.0167,0.0183,,0.8822
3,cf_1,,,,,,,23.92746,6,0.0,False,0.0367,0.3567,0.0183,,0.8977
4,original,5,4,2,7,1,0,21.2585034013605,3,,,0.0067,,0.0033,3.28,
4,cf_1,,,,,,,21.2585,,0.0,False,0.0067,0.0067,0.0033,,0.9868
4,cf_1,,,6,,,,21.2585,,0.0,True,0.0067,0.0,0.0033,,0.9868
4,cf_1,,,3,,,,21.2585,,0.0,False,0.0067,0.0067,0.0033,,0.9868
4,cf_1,,3,,,,,21.2585,,0.0,False,0.0067,0.02,0.0033,,0.9868
4,cf_1,,,5,,,,21.2585,,0.0,False,0.0067,0.02,0.0033,,0.9868
4,cf_1,1,,,,,,21.2585,,0.0,False,0.0067,0.2567,0.0033,,0.9868
4,cf_1,4,,,,,,21.2585,,0.0,False,0.0067,0.01,0.0033,,0.9868
4,cf_1,3,,,,,,21.2585,,0.0,False,0.0067,0.1033,0.0033,,0.9868
4,cf_1,1,,3,,,,21.2585,,0.0,False,0.0067,0.1767,0.0033,,0.9868
5,original,2,2,1,2,4,0,27.9903628117914,0,,,0.52,,0.26,3.27,
5,cf_1,,,,,,,27.99036,2,0.0,False,0.52,0.2833,0.26,,1.0857
5,cf_1,,,6,,,,27.99036,3,0.0,True,0.52,0.1867,0.26,,1.0857
5,cf_1,,,2,,,,27.99036,1,0.0,False,0.52,0.31,0.26,,1.0857
5,cf_1,,,,7,1,,27.99036,,0.0,True,0.52,0.2333,0.26,,1.0857
5,cf_1,,,,5,1,,27.99036,,0.0,False,0.52,0.27,0.26,,1.0857
5,cf_1,,,,4,1,,27.99036,,0.0,False,0.52,0.3533,0.26,,1.0857
5,cf_1,1,,,,,,27.99036,3,0.0,False,0.52,0.2833,0.26,,1.0857
6,original,2,3,5,4,1,0,27.681660899654,4,,,0.4233,,0.2117,2.74,
6,cf_1,,,,,,,26.97728,,0.0,False,0.4233,0.2767,0.2117,,0.9121
6,cf_1,,,,,,,26.7446,,0.0,False,0.4233,0.2267,0.2117,,0.9243
6,cf_1,,,,,,,25.91884,,0.0,True,0.4233,0.1733,0.2117,,0.9677
6,cf_1,,,,,,,25.61408,,0.0,True,0.4233,0.1567,0.2117,,0.9838
6,cf_1,,,,,,,25.30535,,0.0,True,0.4233,0.12,0.2117,,1.0
6,cf_1,,,,,,,27.63121,7,0.0,True,0.4233,0.2067,0.2117,,0.8777
6,cf_1,,,,6,,,27.3593,,0.0,True,0.4233,0.17,0.2117,,0.892
6,cf_1,,,,,,,27.23831,6,0.0,False,0.4233,0.3067,0.2117,,0.8983
7,original,2,3,6,3,1,0,20.4381655849977,2,,,0.1067,,0.0533,2.76,
7,cf_1,,,,,,,20.42942,,0.0,False,0.1067,0.11,0.0533,,0.8754
7,cf_1,,,,,,,20.42836,,0.0,False,0.1067,0.11,0.0533,,0.8754
7,cf_1,,,,,,,19.87768,,0.0,False,0.1067,0.1167,0.0533,,0.8984
7,cf_1,,,,,,,19.40239,,0.0,False,0.1067,0.0867,0.0533,,0.9182
7,cf_1,,,,,,,18.90243,,0.0,False,0.1067,0.0833,0.0533,,0.939
7,cf_1,,,,,,,18.48315,,0.0,False,0.1067,0.0867,0.0533,,0.9565
7,cf_1,,,,,,,18.22823,,0.0,False,0.1067,0.0867,0.0533,,0.9672
7,cf_1,,,,,,,18.11207,,0.0,False,0.1067,0.08,0.0533,,0.972
7,cf_1,,,,,,,17.4409,,0.0,False,0.1067,0.07,0.0533,,1.0
7,cf_1,,,,7,,,20.42942,,0.0,True,0.1067,0.0367,0.0533,,0.8754
8,original,6,4,1,1,1,0,26.0145681581686,0,,,0.2267,,0.1133,2.84,
8,cf_1,,,6,7,,,26.00438,,0.0,False,0.2267,0.2333,0.1133,,0.8752
8,cf_1,1,1,,,,,26.00438,,0.0,False,0.2267,0.1333,0.1133,,0.8752
8,cf_1,2,,,7,,,26.00438,,0.0,False,0.2267,0.2467,0.1133,,0.8752
8,cf_1,,,,,,,19.09711,,0.0,False,0.2267,0.2367,0.1133,,1.0
8,cf_1,2,3,,,,,24.82234,,0.0,True,0.2267,0.0233,0.1133,,0.8965
8,cf_1,2,1,,,,,23.49184,,0.0,False,0.2267,0.14,0.1133,,0.9206
8,cf_1,,,,3,,,23.25344,4,0.0,True,0.2267,0.0267,0.1133,,0.9249
8,cf_1,1,3,,,,,26.00438,6,0.0,False,0.2267,0.3667,0.1133,,0.8752
8,cf_1,1,,3,,,,26.00438,6,0.0,False,0.2267,0.24,0.1133,,0.8752
8,cf_1,1,2,2,,,,26.00438,,0.0,False,0.2267,0.23,0.1133,,0.8752
