query_index,cf_id,etfruit,eatveg,cgtsmok,alcfreq,slprl,paccnois,bmi,dosprt,cf_gen_time_sec,gower_distance,Nchanged,valid,risk_before,predicted_risk_after,target_risk,hltprhc
0,original,4,3,3,4,2,0,18.98659,0,1.22,,,,0.026,,0.013,
0,cf_1,,,,,,,18.98659,,,0.0,1.0,True,0.026,0.0123,0.013,0.0
0,cf_1,,1,5,,1,,18.98659,,,0.2917,4.0,True,0.026,0.0026,0.013,0.0
0,cf_1,,,6,7,,,18.97453,,,0.2141,3.0,False,0.026,0.1428,0.013,0.0
0,cf_1,,,5,,,,19.03114,4,,0.2817,3.0,True,0.026,0.0081,0.013,0.0
0,cf_1,2,4,6,1,,,18.98659,,,0.2792,5.0,False,0.026,0.0485,0.013,0.0
0,cf_1,2,1,5,,1,,18.98659,,,0.3417,5.0,True,0.026,0.0037,0.013,0.0
0,cf_1,6,1,5,7,,,18.98659,,,0.2792,5.0,True,0.026,0.0017,0.013,0.0
0,cf_1,2,,6,5,,,18.98659,5,,0.3208,5.0,False,0.026,0.0799,0.013,0.0
0,cf_1,1,1,4,,1,,18.98659,,,0.325,5.0,False,0.026,0.018,0.013,0.0
0,cf_1,1,1,4,,,1,18.98659,,,0.325,5.0,False,0.026,0.018,0.013,0.0
1,original,3,4,1,2,3,0,22.37568,0,1.3,,,,0.2497,,0.1249,
1,cf_1,,,,,,,22.37568,,,0.0,1.0,False,0.2497,0.2497,0.1249,0.0
1,cf_1,,,,,1,,22.37568,,,0.0833,2.0,True,0.2497,0.07,0.1249,0.0
1,cf_1,2,,,,1,,22.37568,,,0.1458,3.0,True,0.2497,0.0361,0.1249,0.0
1,cf_1,1,,,4,4,,22.37568,,,0.2917,4.0,True,0.2497,0.01,0.1249,0.0
1,cf_1,,2,,,2,,22.37568,2,,0.1274,4.0,True,0.2497,0.0302,0.1249,0.0
1,cf_1,,,,3,1,,22.38631,,,0.2708,3.0,True,0.2497,0.0534,0.1249,0.0
1,cf_1,,1,2,4,,,22.37568,7,,0.35,5.0,True,0.2497,0.0193,0.1249,0.0
1,cf_1,1,6,,4,1,,22.37568,,,0.3833,5.0,False,0.2497,0.1447,0.1249,0.0
1,cf_1,2,,6,,1,,22.37568,5,,0.3601,5.0,True,0.2497,0.0448,0.1249,0.0
2,original,5,3,1,1,4,0,22.69402,7,1.08,,,,0.218,,0.109,
2,cf_1,,,,,,,22.69402,,,0.0,1.0,False,0.218,0.218,0.109,0.0
2,cf_1,3,,,,2,,22.67995,,,0.242,3.0,False,0.218,0.1394,0.109,0.0
2,cf_1,1,,,,2,,22.67574,,,0.3333,3.0,True,0.218,0.0662,0.109,0.0
2,cf_1,3,,5,4,2,,22.69402,,,0.3083,5.0,True,0.218,0.0348,0.109,0.0
2,cf_1,3,,6,2,1,,22.69402,,,0.3333,5.0,True,0.218,0.0301,0.109,0.0
2,cf_1,4,,6,7,2,,22.69402,,,0.3646,5.0,True,0.218,0.0451,0.109,0.0
2,cf_1,,,2,2,1,,22.67995,,,0.267,4.0,True,0.218,0.0124,0.109,0.0
2,cf_1,3,1,,,1,,22.67574,,,0.4375,4.0,True,0.218,0.0222,0.109,0.0
2,cf_1,2,,,,2,,22.67574,3,,0.4271,4.0,True,0.218,0.05,0.109,0.0
3,original,3,3,6,6,2,0,24.34176,1,1.18,,,,0.0653,,0.0327,
3,cf_1,,,,,,,24.34176,,,0.0001,1.0,False,0.0653,0.0653,0.0327,0.0
3,cf_1,,,,,,,24.34176,2,,0.0209,2.0,False,0.0653,0.0617,0.0327,0.0
3,cf_1,1,,,3,,,24.34176,,,0.1459,3.0,False,0.0653,0.1034,0.0327,0.0
3,cf_1,2,,,,,,24.34176,2,,0.0626,3.0,False,0.0653,0.0452,0.0327,0.0
3,cf_1,,,,5,,,24.34176,4,,0.0834,3.0,False,0.0653,0.0651,0.0327,0.0
3,cf_1,4,4,,,,,24.34176,,,0.1667,3.0,False,0.0653,0.1227,0.0327,0.0
3,cf_1,,,,,,,24.33748,3,,0.1666,2.0,False,0.0653,0.0462,0.0327,0.0
3,cf_1,,,3,7,,,24.34176,3,,0.1876,4.0,False,0.0653,0.0479,0.0327,0.0
3,cf_1,2,,,1,,,24.34176,7,,0.2709,4.0,False,0.0653,0.1235,0.0327,0.0
3,cf_1,2,,,7,,,24.34176,4,,0.1251,4.0,False,0.0653,0.0511,0.0327,0.0
4,original,5,4,2,7,1,0,21.2585,3,1.31,,,,0.0811,,0.0406,
4,cf_1,,,,,,,21.2585,,,0.1118,1.0,True,0.0811,0.0141,0.0406,0.0
4,cf_1,,2,5,,,,21.2585,,,0.3618,3.0,True,0.0811,0.0091,0.0406,0.0
4,cf_1,2,3,,,,,21.2585,,,0.2681,3.0,True,0.0811,0.0271,0.0406,0.0
4,cf_1,3,3,,,,,21.2585,,,0.2368,3.0,True,0.0811,0.0167,0.0406,0.0
4,cf_1,1,,4,4,,,21.2585,,,0.3952,4.0,True,0.0811,0.0232,0.0406,0.0
4,cf_1,1,,3,3,,,21.2585,,,0.3785,4.0,True,0.0811,0.0153,0.0406,0.0
4,cf_1,2,2,4,,,,21.2585,,,0.4139,4.0,True,0.0811,0.0277,0.0406,0.0
4,cf_1,4,,,2,2,,21.2585,,,0.3931,4.0,True,0.0811,0.0174,0.0406,0.0
5,original,2,2,1,2,4,0,27.99036,0,1.19,,,,0.0484,,0.0242,
5,cf_1,,,,,,,27.99036,,,0.0,1.0,False,0.0484,0.0484,0.0242,0.0
5,cf_1,,,,3,,,27.99036,6,,0.128,3.0,True,0.0484,0.0191,0.0242,0.0
5,cf_1,,1,,3,,,27.99036,3,,0.1161,4.0,False,0.0484,0.1404,0.0242,0.0
5,cf_1,1,,,,,,28.01022,7,,0.3125,3.0,True,0.0484,0.0079,0.0242,0.0
5,cf_1,,,,1,1,,28.01022,,,0.2708,3.0,True,0.0484,0.0211,0.0242,0.0
5,cf_1,,3,3,7,2,,27.99036,,,0.3125,5.0,False,0.0484,0.1127,0.0242,0.0
5,cf_1,,3,4,,3,,27.99036,4,,0.2798,5.0,False,0.0484,0.0966,0.0242,0.0
5,cf_1,,3,4,7,,,27.99036,5,,0.3601,5.0,False,0.0484,0.092,0.0242,0.0
5,cf_1,3,4,,7,1,,27.99036,,,0.375,5.0,False,0.0484,0.0949,0.0242,0.0
5,cf_1,,3,4,6,1,,27.99036,,,0.375,5.0,False,0.0484,0.1971,0.0242,0.0
6,original,2,3,5,4,1,0,27.68166,4,0.98,,,,0.0539,,0.027,
6,cf_1,,,,,,,27.68166,,,0.0682,1.0,False,0.0539,0.1166,0.027,0.0
6,cf_1,3,,,,,,27.68166,6,,0.1664,3.0,False,0.0539,0.0856,0.027,0.0
6,cf_1,,,6,,,,27.68166,5,,0.111,3.0,False,0.0539,0.0963,0.027,0.0
6,cf_1,,,1,,,,27.68166,1,,0.2217,3.0,False,0.0539,0.0673,0.027,0.0
6,cf_1,,,,1,,,27.68166,0,,0.2021,3.0,False,0.0539,0.1786,0.027,0.0
6,cf_1,,,,7,,,27.68166,7,,0.1842,3.0,False,0.0539,0.1515,0.027,0.0
6,cf_1,,,,,4,,27.68166,2,,0.2289,3.0,False,0.0539,0.0559,0.027,0.0
6,cf_1,,2,,,,,27.68166,3,,0.1277,3.0,False,0.0539,0.0406,0.027,0.0
6,cf_1,,,4,,2,,27.68166,5,,0.1527,4.0,False,0.0539,0.1822,0.027,0.0
6,cf_1,1,5,4,,,,27.68166,,,0.239,4.0,False,0.0539,0.0293,0.027,0.0
7,original,2,3,6,3,1,0,20.43817,2,1.16,,,,0.0565,,0.0283,
7,cf_1,,,,,,,20.43817,,,0.0001,1.0,False,0.0565,0.0565,0.0283,0.0
7,cf_1,,,,2,,,20.43817,4,,0.0813,3.0,False,0.0565,0.0297,0.0283,0.0
7,cf_1,,,1,,2,,20.43817,,,0.2501,3.0,True,0.0565,0.0179,0.0283,0.0
7,cf_1,,,,4,,,20.44914,,,0.1562,2.0,False,0.0565,0.1464,0.0283,0.0
7,cf_1,,,5,2,,,20.43817,5,,0.1313,4.0,True,0.0565,0.0071,0.0283,0.0
7,cf_1,1,1,,,,,20.43817,5,,0.3251,4.0,True,0.0565,0.0092,0.0283,0.0
7,cf_1,,,,5,2,,20.43817,7,,0.3126,4.0,False,0.0565,0.0655,0.0283,0.0
7,cf_1,,,,2,2,,20.43817,5,,0.2313,4.0,False,0.0565,0.0306,0.0283,0.0
7,cf_1,,1,,6,,,20.43817,3,,0.2438,4.0,False,0.0565,0.0685,0.0283,0.0
7,cf_1,,1,,6,,,20.43817,7,,0.3438,4.0,False,0.0565,0.0565,0.0283,0.0
8,original,6,4,1,1,1,0,26.01457,0,1.17,,,,0.1216,,0.0608,
8,cf_1,,,,,,,26.01457,,,0.0,1.0,False,0.1216,0.1216,0.0608,0.0
8,cf_1,1,,,3,,,26.01457,3,,0.2286,4.0,True,0.1216,0.0392,0.0608,0.0
8,cf_1,3,5,,,,,26.01457,7,,0.225,4.0,False,0.1216,0.1349,0.0608,0.0
8,cf_1,3,6,,,,,26.01457,5,,0.2143,4.0,True,0.1216,0.0249,0.0608,0.0
8,cf_1,3,1,,3,,,26.01457,,,0.2,4.0,True,0.1216,0.0146,0.0608,0.0
8,cf_1,4,,4,4,,,26.01457,,,0.2,4.0,False,0.1216,0.132,0.0608,0.0
8,cf_1,4,,,6,,,26.02305,,,0.3,3.0,False,0.1216,0.0923,0.0608,0.0
