query_index,cf_id,etfruit,eatveg,cgtsmok,alcfreq,slprl,paccnois,bmi,dosprt,hltprhc,risk_before,target_risk,predicted_risk_after,valid,cf_gen_time_sec
0,original,4,3,3,4,2,0,18.9865907203038,0,,0.06333333333333334,0.03166666666666667,,,2.09
0,cf_1,,,,,,,18.98659,,0.0,0.06333333333333334,0.03166666666666667,0.06333333333333334,False,
0,cf_1,,,6,7,,,18.97453,,0.0,0.06333333333333334,0.03166666666666667,0.09333333333333334,False,
0,cf_1,1,,6,,3,,18.98659,3,0.0,0.06333333333333334,0.03166666666666667,0.21666666666666667,False,
0,cf_1,1,,1,,3,,18.98659,3,0.0,0.06333333333333334,0.03166666666666667,0.043333333333333335,False,
0,cf_1,1,2,,,3,,18.98659,7,0.0,0.06333333333333334,0.03166666666666667,0.09333333333333334,False,
0,cf_1,1,2,,1,,,18.98659,5,0.0,0.06333333333333334,0.03166666666666667,0.16333333333333333,False,
0,cf_1,1,,1,1,,,18.98659,6,0.0,0.06333333333333334,0.03166666666666667,0.21333333333333335,False,
0,cf_1,5,6,6,1,,,18.98659,,0.0,0.06333333333333334,0.03166666666666667,0.24333333333333335,False,
0,cf_1,7,2,2,,,,18.98659,3,0.0,0.06333333333333334,0.03166666666666667,0.023333333333333334,True,
1,original,3,4,1,2,3,0,22.3756799506192,0,,0.14666666666666667,0.07333333333333333,,,2.1
1,cf_1,,,,,,,22.37568,,0.0,0.14666666666666667,0.07333333333333333,0.14666666666666667,False,
1,cf_1,1,,,,1,,22.37568,,0.0,0.14666666666666667,0.07333333333333333,0.09,False,
1,cf_1,,2,,,2,,22.37568,,0.0,0.14666666666666667,0.07333333333333333,0.09333333333333334,False,
1,cf_1,,3,,,,,22.37568,2,0.0,0.14666666666666667,0.07333333333333333,0.04,True,
1,cf_1,2,,,,1,,22.37568,,0.0,0.14666666666666667,0.07333333333333333,0.01,True,
1,cf_1,,2,,,2,,22.37568,2,0.0,0.14666666666666667,0.07333333333333333,0.043333333333333335,True,
1,cf_1,1,1,,6,,,22.37568,,0.0,0.14666666666666667,0.07333333333333333,0.17333333333333334,False,
1,cf_1,7,1,,,2,,22.37568,,0.0,0.14666666666666667,0.07333333333333333,0.10833333333333334,False,
1,cf_1,1,1,,,,,22.37568,5,0.0,0.14666666666666667,0.07333333333333333,0.06333333333333334,True,
2,original,5,3,1,1,4,0,22.6940189315895,7,,0.15666666666666668,0.07833333333333334,,,2.12
2,cf_1,,,,,,,22.69402,,0.0,0.15666666666666668,0.07833333333333334,0.15666666666666668,False,
2,cf_1,,2,3,,1,,22.69402,,0.0,0.15666666666666668,0.07833333333333334,0.04666666666666667,True,
2,cf_1,3,,,,2,,22.67995,,0.0,0.15666666666666668,0.07833333333333334,0.013333333333333334,True,
2,cf_1,2,7,,5,1,,22.69402,,0.0,0.15666666666666668,0.07833333333333334,0.09333333333333334,False,
2,cf_1,3,2,,6,1,,22.69402,,0.0,0.15666666666666668,0.07833333333333334,0.04666666666666667,True,
2,cf_1,4,,6,7,2,,22.69402,,0.0,0.15666666666666668,0.07833333333333334,0.02,True,
2,cf_1,3,,6,4,,,22.69402,5,0.0,0.15666666666666668,0.07833333333333334,0.14,False,
2,cf_1,3,,6,2,1,,22.69402,,0.0,0.15666666666666668,0.07833333333333334,0.01,True,
2,cf_1,3,,5,4,2,,22.69402,,0.0,0.15666666666666668,0.07833333333333334,0.006666666666666667,True,
2,cf_1,3,,3,,1,,22.69402,6,0.0,0.15666666666666668,0.07833333333333334,0.09,False,
3,original,3,3,6,6,2,0,24.3417582863402,1,,0.02,0.01,,,2.11
3,cf_1,,,,,,,24.34176,,0.0,0.02,0.01,0.02,False,
3,cf_1,,,,,,,24.34176,2,0.0,0.02,0.01,0.013333333333333334,False,
3,cf_1,4,4,,,,,24.34176,,0.0,0.02,0.01,0.06666666666666667,False,
3,cf_1,2,,,,,,24.34176,2,0.0,0.02,0.01,0.01,True,
3,cf_1,,,,5,,,24.34176,4,0.0,0.02,0.01,0.03,False,
3,cf_1,2,,,7,,,24.34176,4,0.0,0.02,0.01,0.006666666666666667,True,
3,cf_1,2,2,,,,,24.34176,3,0.0,0.02,0.01,0.04666666666666667,False,
3,cf_1,,,,7,1,,24.34176,2,0.0,0.02,0.01,0.0033333333333333335,True,
3,cf_1,,2,,7,,,24.34176,4,0.0,0.02,0.01,0.023333333333333334,False,
4,original,5,4,2,7,1,0,21.2585034013605,3,,0.02666666666666667,0.013333333333333334,,,2.08
4,cf_1,,,,,,,21.2585,,0.0,0.02666666666666667,0.013333333333333334,0.02666666666666667,False,
4,cf_1,,3,1,,,,21.2585,,0.0,0.02666666666666667,0.013333333333333334,0.023333333333333334,False,
4,cf_1,,3,,,,,21.2585,7,0.0,0.02666666666666667,0.013333333333333334,0.05,False,
4,cf_1,3,3,,,,,21.2585,,0.0,0.02666666666666667,0.013333333333333334,0.0033333333333333335,True,
4,cf_1,2,,4,,,,21.2585,7,0.0,0.02666666666666667,0.013333333333333334,0.12,False,
4,cf_1,2,6,,,,,21.2585,4,0.0,0.02666666666666667,0.013333333333333334,0.05,False,
4,cf_1,4,,,2,2,,21.2585,,0.0,0.02666666666666667,0.013333333333333334,0.03333333333333333,False,
4,cf_1,1,,6,,,,21.2585,7,0.0,0.02666666666666667,0.013333333333333334,0.04,False,
4,cf_1,3,2,5,,,,21.2585,,0.0,0.02666666666666667,0.013333333333333334,0.0,True,
4,cf_1,,3,,,,1,21.2585,2,0.0,0.02666666666666667,0.013333333333333334,0.05,False,
5,original,2,2,1,2,4,0,27.9903628117914,0,,0.32666666666666666,0.16333333333333333,,,2.09
5,cf_1,,,,,2,,27.99036,,0.0,0.32666666666666666,0.16333333333333333,0.05333333333333334,True,
5,cf_1,,3,,,3,,27.99036,,0.0,0.32666666666666666,0.16333333333333333,0.08,True,
5,cf_1,1,,,,,,27.99036,1,0.0,0.32666666666666666,0.16333333333333333,0.15333333333333332,True,
5,cf_1,,1,3,,2,,27.99036,,0.0,0.32666666666666666,0.16333333333333333,0.15666666666666668,True,
5,cf_1,,,2,7,,,27.99036,2,0.0,0.32666666666666666,0.16333333333333333,0.03333333333333333,True,
5,cf_1,,4,2,,1,,27.99036,,0.0,0.32666666666666666,0.16333333333333333,0.07333333333333333,True,
5,cf_1,,4,,,,,27.99302,7,0.0,0.32666666666666666,0.16333333333333333,0.2,False,
5,cf_1,1,7,2,3,,,27.99036,,0.0,0.32666666666666666,0.16333333333333333,0.24,False,
