query_index,cf_id,etfruit,eatveg,cgtsmok,alcfreq,slprl,paccnois,bmi,dosprt,hltprhc,risk_before,target_risk,predicted_risk_after,valid,cf_gen_time_sec
0,original,4,3,3,4,2,0,18.9865907203038,0,,0.06333333333333334,0.03166666666666667,,,0.34
0,cf_1,,,,,,,17.13457,,0.0,0.06333333333333334,0.03166666666666667,0.04666666666666667,False,
0,cf_2,,,,,,,30.1683,,0.0,0.06333333333333334,0.03166666666666667,0.11333333333333333,False,
0,cf_3,7,,,,,,16.95194,,0.0,0.06333333333333334,0.03166666666666667,0.08333333333333333,False,
0,cf_4,,6,,,,,27.87703,,0.0,0.06333333333333334,0.03166666666666667,0.19666666666666666,False,
0,cf_5,,4,1,,,,,,0.0,0.06333333333333334,0.03166666666666667,0.03,True,
0,cf_6,,2,,,,1,,,0.0,0.06333333333333334,0.03166666666666667,0.11,False,
0,cf_7,,,,,,1,37.07046,,0.0,0.06333333333333334,0.03166666666666667,0.09,False,
0,cf_8,5,,,,,,29.88742,,0.0,0.06333333333333334,0.03166666666666667,0.06,False,
0,cf_9,,,,,,,33.65108,,0.0,0.06333333333333334,0.03166666666666667,0.22333333333333333,False,
0,cf_10,5,,,,,,29.97683,,0.0,0.06333333333333334,0.03166666666666667,0.07,False,
1,original,3,4,1,2,3,0,22.3756799506192,0,,0.14666666666666667,0.07333333333333333,,,0.33
1,cf_1,,,,,,,32.34252,,0.0,0.14666666666666667,0.07333333333333333,0.12,False,
1,cf_2,,,,,,1,,,0.0,0.14666666666666667,0.07333333333333333,0.07333333333333333,True,
1,cf_3,,,,3,,1,,,0.0,0.14666666666666667,0.07333333333333333,0.04666666666666667,True,
1,cf_4,,,6,,2,,,,0.0,0.14666666666666667,0.07333333333333333,0.14666666666666667,False,
1,cf_5,,,,,,,33.83203,5,0.0,0.14666666666666667,0.07333333333333333,0.08333333333333333,False,
1,cf_6,,,,,,,30.17572,,0.0,0.14666666666666667,0.07333333333333333,0.16666666666666666,False,
1,cf_7,,,,,2,,21.14549,,0.0,0.14666666666666667,0.07333333333333333,0.09,False,
1,cf_8,,,,5,,,,,0.0,0.14666666666666667,0.07333333333333333,0.06666666666666667,True,
1,cf_9,,,,,,,35.48954,,0.0,0.14666666666666667,0.07333333333333333,0.15333333333333332,False,
1,cf_10,,7,,,,,,7,0.0,0.14666666666666667,0.07333333333333333,0.18666666666666668,False,
2,original,5,3,1,1,4,0,22.6940189315895,7,,0.15666666666666668,0.07833333333333334,,,0.32
2,cf_1,,,,,,,34.70064,,0.0,0.15666666666666668,0.07833333333333334,0.09666666666666666,False,
2,cf_2,,,,,,,26.85783,,0.0,0.15666666666666668,0.07833333333333334,0.07,True,
2,cf_3,,,,6,,,,1,0.0,0.15666666666666668,0.07833333333333334,0.24333333333333335,False,
2,cf_4,,,,5,,,33.55623,,0.0,0.15666666666666668,0.07833333333333334,0.11,False,
2,cf_5,,,,,,1,34.12625,,0.0,0.15666666666666668,0.07833333333333334,0.13666666666666666,False,
2,cf_6,,,,,,,36.19407,,0.0,0.15666666666666668,0.07833333333333334,0.16,False,
2,cf_7,,,5,4,,,,,0.0,0.15666666666666668,0.07833333333333334,0.18333333333333332,False,
2,cf_8,,,,,1,1,,,0.0,0.15666666666666668,0.07833333333333334,0.02,True,
